feature,importance
s__Enterocloster_hominis,5.291729114022469
s__Ruminococcus_sp_AF13_28,2.864688656725331
s__Lachnospira_eligens,1.7934856181999492
s__Oscillospiraceae_bacterium_CLA_AA_H250,1.7003755466692536
s__Anaerobutyricum_hallii,1.6686755346161712
s__Haemophilus_parainfluenzae,1.6177764113783015
s__Bacteroides_stercoris,1.51983345712866
s__Roseburia_intestinalis,1.460959186707289
s__Streptococcus_parasanguinis,1.4121573854355514
s__GGB51647_SGB4348,1.34061206601253
s__Ruthenibacterium_lactatiformans,1.2627497554553597
s__Blautia_luti,1.2048788919709983
s__Phocea_massiliensis,1.1748766808234326
s__Faecalibacterium_sp_CLA_AA_H233,1.1473272195019315
s__Clostridium_fessum,1.0525712711697608
s__Bifidobacterium_longum,1.0492394391267155
s__Eubacterium_rectale,1.0210488895930019
s__Hydrogenoanaerobacterium_saccharovorans,0.9782679941482129
s__Guopingia_tenuis,0.9683227264485557
s__Blautia_wexlerae,0.9617925882743421
s__Oliverpabstia_intestinalis,0.9459441882169383
s__Phocaeicola_plebeius,0.9253872390362823
s__Streptococcus_salivarius,0.8892351711084652
s__Candidatus_Cibionibacter_quicibialis,0.8797735024800732
s__Escherichia_coli,0.8752094175603294
s__Eubacteriaceae_bacterium,0.8476626101921696
s__Segatella_copri,0.8452412061052045
s__Alistipes_onderdonkii,0.8411437048786039
s__Akkermansia_muciniphila,0.8004550197323864
s__Bacteroides_thetaiotaomicron,0.7796366082194209
s__Clostridium_sp_AT4,0.7553378045697647
s__Blautia_sp_MCC283,0.7494830695471608
s__Blautia_obeum,0.7255740238498365
s__Colidextribacter_sp_210702_DFI_3_9,0.6912519558473451
s__Faecalibacterium_sp_HTFF,0.679396556512986
s__Ruminococcus_torques,0.676254378589826
s__GGB9758_SGB15368,0.6749195023110184
s__Collinsella_aerofaciens,0.6632641178343004
s__Phocaeicola_vulgatus,0.6632315128256951
s__Anaerostipes_hadrus,0.6395297754165122
s__Erysipelatoclostridium_ramosum,0.6381591954851358
s__Bacteroides_nordii,0.6325167570755004
s__Roseburia_hominis,0.6309563307110814
s__GGB9715_SGB15265,0.6271006075817348
s__GGB2653_SGB3574,0.6164290325068021
s__Clostridiaceae_bacterium_AF18_31LB,0.5992330022050277
s__Alistipes_communis,0.598013358306574
s__Dialister_invisus,0.5939755974913096
s__GGB9627_SGB15081,0.5903671464381114
s__Klebsiella_pneumoniae,0.5870295007987486
s__Eubacterium_ventriosum,0.579948333950835
s__Ruminococcus_bromii,0.5787034676694606
s__Evtepia_gabavorous,0.5731804354244836
s__Eubacterium_siraeum,0.5637625802322005
s__GGB9719_SGB15272,0.563226519060625
s__Faecalibacillus_intestinalis,0.5598862123793819
s__Gemmiger_SGB15295,0.5550861759491476
s__Alistipes_shahii,0.540537005706518
s__GGB9708_SGB15234,0.5380112183979018
s__GGB3256_SGB4303,0.5349090661096109
s__Mediterraneibacter_butyricigenes,0.5325624405521667
s__Vescimonas_coprocola,0.531589742999128
s__Alistipes_sp_AF17_16,0.5298133187376388
s__Mediterraneibacter_glycyrrhizinilyticus,0.5240144952004377
s__Alistipes_finegoldii,0.516909316917985
s__Veillonella_parvula,0.5142648334403173
s__Bifidobacterium_adolescentis,0.5092736647831855
s__Methanobrevibacter_smithii,0.5046675934355113
s__Roseburia_faecis,0.5020655059600767
s__GGB3304_SGB4367,0.5005253821217767
s__Romboutsia_timonensis,0.4960263500966822
s__Coprococcus_catus,0.4945255836907969
s__Bilophila_wadsworthia,0.48691309829367657
s__Lachnospiraceae_bacterium_AM48_27BH,0.48252812093678793
s__Bacteroides_caccae,0.4764611489290382
s__Faecalibacterium_prausnitzii,0.47581188987490536
s__Holdemania_filiformis,0.4750934048130923
s__Bacteroides_xylanisolvens,0.4744240423771966
s__GGB9502_SGB14899,0.47091251044746657
s__Gemmiger_formicilis,0.46773425409114916
s__GGB3619_SGB4894,0.4676346208870998
s__GGB9715_SGB15260,0.4547863917324773
s__Alistipes_putredinis,0.4524684864532091
s__Hungatella_hathewayi,0.44349087298009104
s__Lentihominibacter_faecis,0.4424901304231319
s__Clostridium_sp_AF20_17LB,0.4322487368226261
s__Coprococcus_comes,0.43072532666642527
s__GGB9699_SGB15216,0.4233812388855617
s__Roseburia_inulinivorans,0.40907186003701607
s__Clostridiaceae_unclassified_SGB4771,0.39987112139578895
s__Clostridiaceae_bacterium_Marseille_Q4149,0.3991343890644949
s__Ruminococcus_callidus,0.39637118553268186
s__Sutterella_wadsworthensis,0.38846899758446685
s__Flavonifractor_plautii,0.3835715803951002
s__Fusicatenibacter_saccharivorans,0.3796883682142389
s__Blautia_massiliensis,0.37707346827172306
s__Paraprevotella_clara,0.37645371265535393
s__Blautia_SGB4815,0.3745210895338238
s__Phascolarctobacterium_faecium,0.37297542855647065
s__Anaeromassilibacillus_senegalensis,0.37165895897023193
s__Streptococcus_thermophilus,0.3698187071166723
s__Clostridiaceae_bacterium,0.3666632132687836
s__Dorea_sp_AF36_15AT,0.3653497701427438
s__Phocaeicola_massiliensis,0.36081790415928366
s__Bacteroides_fragilis,0.3577410367654373
s__Clostridium_SGB4750,0.35695573674306624
s__Bacteroides_intestinalis,0.3566198745883431
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.3556114391093329
s__Roseburia_sp_AF02_12,0.35254732982800124
s__Mediterraneibacter_faecis,0.34930964306415896
s__Clostridiales_bacterium,0.3491859078601285
s__TM7_phylum_sp_oral_taxon_352,0.3446123305369831
s__Blautia_glucerasea,0.3432911709994902
s__Parabacteroides_merdae,0.34236550056005643
s__Oscillibacter_valericigenes,0.3418097055349198
s__Adlercreutzia_equolifaciens,0.338342940637995
s__GGB9707_SGB15229,0.33794643725968576
s__GGB52130_SGB14966,0.32962009906443135
s__Ruminococcus_bicirculans,0.32452937477380306
s__Coprococcus_eutactus,0.3225832841616906
s__Enterocloster_bolteae,0.32075679959364406
s__Phocaeicola_dorei,0.3164776255440916
s__Lacrimispora_amygdalina,0.3139648098079787
s__Intestinibacter_bartlettii,0.31286451576705177
s__Clostridium_symbiosum,0.3111602207903866
s__Clostridium_innocuum,0.3062093981098646
s__Intestinimonas_butyriciproducens,0.30156180100938423
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.29652371392815796
s__GGB9760_SGB15373,0.29531116498327525
s__bacterium_210917_DFI_7_65,0.29149398192792836
s__Parabacteroides_distasonis,0.2909800616535786
s__Eggerthella_lenta,0.2878620191477332
s__Faecalicatena_fissicatena,0.28653912940877485
s__Lachnospira_sp_NSJ_43,0.28297646636795565
s__Barnesiella_intestinihominis,0.2817727131606622
s__GGB9534_SGB14937,0.27991158427319696
s__Lachnospiraceae_bacterium_OM04_12BH,0.27869888937824444
s__Anaerotignum_faecicola,0.2757599530792437
s__Oscillibacter_sp_MSJ_31,0.2724288155953425
s__Bacteroides_cellulosilyticus,0.26065305361251845
s__Ruminococcus_gnavus,0.25943155516666255
s__Lachnospiraceae_bacterium,0.2588107023927794
s__Lawsonibacter_SGB15145,0.2577737741060136
s__Parabacteroides_goldsteinii,0.25693251948551876
s__GGB9730_SGB15291,0.25412851706309386
s__Wansuia_hejianensis,0.23850771991422878
s__GGB9342_SGB14306,0.23141567246421188
s__Alistipes_senegalensis,0.2221390676274802
s__Dorea_longicatena,0.2149784899824634
s__Clostridia_bacterium_UC5_1_1D1,0.21271420804614805
s__GGB9747_SGB15356,0.21014165098557114
s__Clostridiaceae_bacterium_Marseille_Q4143,0.2028309737374971
s__Brotolimicola_acetigignens,0.20106428465548007
s__Enterocloster_citroniae,0.20031396541739382
s__Bacteroides_ovatus,0.20007427090993482
s__Agathobaculum_butyriciproducens,0.19600721411424227
s__Dysosmobacter_welbionis,0.19588416810121226
s__Ruminococcus_lactaris,0.19552706931966898
s__Anaerotruncus_colihominis,0.19525403044251446
s__Faecalibacterium_SGB15346,0.19352008604482476
s__Clostridium_leptum,0.18962164665261114
s__Alistipes_ihumii,0.18679151308788564
s__Alistipes_indistinctus,0.17599146488989642
s__Bacteroides_uniformis,0.17517694512254536
s__Parasutterella_excrementihominis,0.16944813784570675
s__Bacteroides_finegoldii,0.169157972763114
s__GGB9614_SGB15049,0.16702731777494403
s__Oscillibacter_sp_ER4,0.16607771752894973
s__Clostridium_sp_AM22_11AC,0.16279367763751998
s__GGB2998_SGB3988,0.16172663663632564
