iter	RMSE
0	5.20825961
1	5.184857146
2	5.160987998
3	5.135583726
4	5.113796742
5	5.090457396
6	5.072281123
7	5.056311156
8	5.040399806
9	5.023967848
10	5.008196924
11	4.992881542
12	4.977938646
13	4.964326039
14	4.953145992
15	4.940759715
16	4.93109897
17	4.919852413
18	4.910068691
19	4.902294658
20	4.893435702
21	4.883963349
22	4.872739688
23	4.862246389
24	4.853252212
25	4.845293613
26	4.838448753
27	4.830744371
28	4.823643468
29	4.817481949
30	4.811488178
31	4.803809365
32	4.797115596
33	4.791270696
34	4.783625925
35	4.778139754
36	4.772276059
37	4.766223216
38	4.759809281
39	4.754268565
40	4.749568888
41	4.743854988
42	4.737542672
43	4.731286099
44	4.725966367
45	4.719441416
46	4.713820312
47	4.708588593
48	4.704101076
49	4.699357841
50	4.693718536
51	4.688099003
52	4.683489606
53	4.679757678
54	4.674912872
55	4.670757974
56	4.666339136
57	4.661836703
58	4.656375397
59	4.65044259
60	4.644923238
61	4.640774673
62	4.636189278
63	4.632313469
64	4.627346714
65	4.622355095
66	4.618692647
67	4.615120136
68	4.610670177
69	4.606239732
70	4.602667669
71	4.598608758
72	4.595370593
73	4.590768034
74	4.586609208
75	4.582870534
76	4.579550594
77	4.57581745
78	4.572251458
79	4.569655324
80	4.565338859
81	4.561024975
82	4.556308198
83	4.552161248
84	4.5474613
85	4.545112742
86	4.541764473
87	4.537490133
88	4.534001358
89	4.530978752
90	4.525797942
91	4.522379359
92	4.52026188
93	4.51628175
94	4.512439628
95	4.508676006
96	4.505030765
97	4.501372737
98	4.498006582
99	4.494127522
100	4.490234116
101	4.487490919
102	4.483637731
103	4.480815923
104	4.475471407
105	4.471331338
106	4.467437152
107	4.465256982
108	4.460912953
109	4.459043099
110	4.455587615
111	4.453279304
112	4.450831345
113	4.447863365
114	4.444175854
115	4.439407577
116	4.436517572
117	4.43262425
118	4.429918744
119	4.425543965
120	4.421450076
121	4.417768831
122	4.413741284
123	4.411002365
124	4.408081041
125	4.405228344
126	4.402956307
127	4.400844178
128	4.398460648
129	4.39613261
130	4.392605741
131	4.389309636
132	4.386481124
133	4.384063888
134	4.381087997
135	4.377957637
136	4.374555755
137	4.371517561
138	4.368509146
139	4.366825393
140	4.365103354
141	4.362750096
142	4.358745892
143	4.356218562
144	4.354066479
145	4.350970649
146	4.347100761
147	4.343890309
148	4.340386923
149	4.33813877
150	4.334335857
151	4.330762319
152	4.327860791
153	4.323707952
154	4.321250537
155	4.31789552
156	4.31438343
157	4.312124272
158	4.308959633
159	4.305269697
160	4.303164014
161	4.300114661
162	4.295555239
163	4.292662248
164	4.289741327
165	4.287206098
166	4.284821271
167	4.280634809
168	4.277963518
169	4.27493771
170	4.270361589
171	4.267865083
172	4.265454805
173	4.261813473
174	4.258712914
175	4.255870585
176	4.254153489
177	4.251631265
178	4.247593768
179	4.244105347
180	4.242747498
181	4.238834642
182	4.236262196
183	4.232593643
184	4.229534113
185	4.226168004
186	4.221340718
187	4.21951549
188	4.217549833
189	4.21416723
190	4.211534974
191	4.209015618
192	4.206310204
193	4.203227338
194	4.200039853
195	4.196052898
196	4.193926254
197	4.192206533
198	4.189887982
199	4.186826734
200	4.183580806
201	4.181197535
202	4.177590189
203	4.174750135
204	4.172020157
205	4.168535375
206	4.166474203
207	4.164720358
208	4.161918372
209	4.158619785
210	4.155366449
211	4.151397351
212	4.148944534
213	4.147045396
214	4.144182353
215	4.141427387
216	4.137655863
217	4.135710525
218	4.133462965
219	4.13064167
220	4.127878905
221	4.124681343
222	4.122410059
223	4.11820511
224	4.115112318
225	4.112376187
226	4.109769401
227	4.107970907
228	4.106001883
229	4.103988091
230	4.102466022
231	4.099729755
232	4.095382048
233	4.092702653
234	4.088845812
235	4.084662808
236	4.082082102
237	4.078717732
238	4.076089052
239	4.070640462
240	4.068063395
241	4.063412717
242	4.060756114
243	4.058061499
244	4.054111428
245	4.051464689
246	4.04783373
247	4.042952332
248	4.0415421
249	4.03939171
250	4.03553284
251	4.032829249
252	4.030725578
253	4.028908526
254	4.026876203
255	4.023992968
256	4.021405184
257	4.019762026
258	4.016458395
259	4.012541525
260	4.008983011
261	4.005887819
262	4.003548942
263	3.998784164
264	3.996564431
265	3.994457161
266	3.992337299
267	3.989205739
268	3.987814048
269	3.98544725
270	3.98094587
271	3.978057187
272	3.97546435
273	3.973495308
274	3.972236619
275	3.969392274
276	3.967475467
277	3.965668967
278	3.962536752
279	3.959611736
280	3.955953013
281	3.953313464
282	3.950178346
283	3.947162403
284	3.9440282
285	3.941804518
286	3.938265392
287	3.934766432
288	3.931442267
289	3.927774389
290	3.925346704
291	3.922036689
292	3.919076464
293	3.915332395
294	3.911625281
295	3.908691521
296	3.905464461
297	3.902588866
298	3.898793779
299	3.895930151
300	3.892638286
301	3.889999439
302	3.886903792
303	3.88348653
304	3.881926069
305	3.879600831
306	3.87699094
307	3.873436372
308	3.869508581
309	3.865219293
310	3.861349688
311	3.859003479
312	3.856528592
313	3.854576969
314	3.851828889
315	3.850346435
316	3.848008684
317	3.844978315
318	3.840892001
319	3.837950718
320	3.835836257
321	3.83185454
322	3.829033854
323	3.826584733
324	3.824344074
325	3.822301697
326	3.820239344
327	3.817834303
328	3.814689192
329	3.811539778
330	3.80788083
331	3.804671131
332	3.800754274
333	3.797401219
334	3.794270443
335	3.792399251
336	3.78969146
337	3.786838453
338	3.784004777
339	3.781322383
340	3.77930003
341	3.77658241
342	3.773756518
343	3.770398457
344	3.768601584
345	3.766322431
346	3.764187793
347	3.762555509
348	3.760005102
349	3.758366206
350	3.75545869
351	3.753317741
352	3.752319035
353	3.750549061
354	3.747925745
355	3.745097164
356	3.742747147
357	3.740930498
358	3.738670239
359	3.737024777
360	3.733925731
361	3.731428382
362	3.72844308
363	3.726156143
364	3.723004057
365	3.720916599
366	3.718196134
367	3.715322149
368	3.71165818
369	3.708900643
370	3.706484589
371	3.704475574
372	3.702747724
373	3.700422673
374	3.697537142
375	3.694150575
376	3.691742167
377	3.689399467
378	3.686315484
379	3.683663552
380	3.680516484
381	3.677994125
382	3.675594742
383	3.673032386
384	3.670391205
385	3.667799858
386	3.665522343
387	3.662915649
388	3.660029238
389	3.657231686
390	3.654476076
391	3.652249988
392	3.650701729
393	3.647931142
394	3.646051056
395	3.644313835
396	3.642632087
397	3.640477561
398	3.638438423
399	3.636385792
400	3.63399458
401	3.631003157
402	3.628275734
403	3.625763095
404	3.623187915
405	3.621417318
406	3.619376205
407	3.616630272
408	3.613809988
409	3.610743083
410	3.609104248
411	3.606957365
412	3.604397814
413	3.602346929
414	3.600771289
415	3.598175976
416	3.595390987
417	3.592280324
418	3.590358076
419	3.58821643
420	3.585635785
421	3.58396514
422	3.581163103
423	3.578455279
424	3.576296152
425	3.573142844
426	3.571162199
427	3.56925696
428	3.56605208
429	3.562808809
430	3.560409275
431	3.55886512
432	3.55576923
433	3.553953157
434	3.551343445
435	3.550082463
436	3.548151947
437	3.546146572
438	3.542799712
439	3.5408657
440	3.538316334
441	3.536382501
442	3.533743066
443	3.532637662
444	3.530089643
445	3.527546051
446	3.526053514
447	3.522733681
448	3.521007594
449	3.518091651
450	3.515293165
451	3.513438964
452	3.512683778
453	3.509320219
454	3.506385417
455	3.503806921
456	3.502200349
457	3.499962732
458	3.498077406
459	3.495314438
460	3.494145445
461	3.490208985
462	3.487369873
463	3.484944366
464	3.483184757
465	3.481166785
466	3.478944128
467	3.477110615
468	3.474982604
469	3.472616695
470	3.470375868
