iter	Passed	Remaining
0	6	3166
1	11	2838
2	16	2787
3	23	2882
4	28	2825
5	33	2757
6	38	2708
7	43	2657
8	48	2631
9	53	2605
10	57	2577
11	62	2552
12	67	2527
13	72	2514
14	77	2518
15	82	2508
16	87	2497
17	92	2483
18	97	2462
19	101	2437
20	105	2414
21	110	2399
22	114	2378
23	118	2359
24	123	2341
25	127	2331
26	132	2320
27	136	2307
28	141	2295
29	145	2282
30	150	2270
31	154	2258
32	159	2250
33	163	2237
34	167	2225
35	171	2216
36	177	2217
37	182	2217
38	187	2217
39	192	2215
40	197	2208
41	202	2202
42	207	2200
43	211	2195
44	216	2187
45	220	2178
46	225	2170
47	229	2161
48	233	2151
49	238	2142
50	242	2136
51	246	2127
52	251	2119
53	255	2110
54	259	2103
55	264	2097
56	268	2089
57	273	2082
58	277	2075
59	282	2068
60	286	2059
61	290	2053
62	294	2045
63	299	2037
64	303	2031
65	308	2028
66	312	2022
67	317	2015
68	321	2010
69	326	2002
70	330	1999
71	335	1991
72	339	1986
73	343	1980
74	348	1974
75	352	1967
76	357	1962
77	361	1956
78	366	1950
79	370	1944
80	374	1938
81	379	1932
82	384	1929
83	389	1926
84	393	1921
85	398	1917
86	402	1911
87	407	1907
88	411	1901
89	415	1894
90	420	1889
91	424	1884
92	429	1879
93	433	1873
94	437	1867
95	443	1864
96	447	1859
97	451	1853
98	457	1851
99	461	1846
100	465	1840
101	470	1835
102	475	1833
103	486	1851
104	500	1881
105	508	1889
106	512	1884
107	517	1877
108	522	1872
109	526	1866
110	530	1860
111	535	1854
112	540	1849
113	544	1844
114	549	1838
115	553	1832
116	558	1827
117	562	1822
118	567	1816
119	572	1812
120	576	1806
121	581	1800
122	585	1795
123	590	1790
124	594	1784
125	599	1779
126	603	1773
127	608	1768
128	612	1762
129	617	1756
130	622	1752
131	627	1748
132	631	1743
133	636	1737
134	640	1731
135	645	1727
136	649	1722
137	655	1718
138	659	1713
139	663	1707
140	668	1701
141	672	1696
142	677	1690
143	681	1685
144	686	1680
145	690	1674
146	695	1669
147	699	1664
148	704	1659
149	708	1654
150	713	1648
151	718	1644
152	722	1639
153	727	1634
154	732	1630
155	737	1625
156	741	1620
157	746	1615
158	750	1610
159	756	1606
160	760	1601
161	764	1595
162	769	1590
163	774	1586
164	779	1581
165	783	1576
166	788	1571
167	792	1566
168	797	1561
169	801	1556
170	806	1551
171	810	1545
172	814	1540
173	819	1535
174	823	1529
175	827	1524
176	832	1518
177	837	1514
178	841	1509
179	846	1504
180	850	1499
181	854	1493
182	859	1488
183	863	1483
184	868	1478
185	872	1472
186	876	1467
187	881	1462
188	885	1457
189	889	1451
190	894	1447
191	899	1442
192	903	1437
193	908	1432
194	912	1426
195	917	1422
196	921	1416
197	925	1411
198	929	1406
199	934	1401
200	938	1396
201	943	1391
202	948	1387
203	953	1383
204	958	1379
205	963	1374
206	967	1369
207	972	1364
208	977	1360
209	981	1355
210	986	1350
211	991	1346
212	995	1341
213	1000	1336
214	1004	1331
215	1008	1326
216	1013	1321
217	1017	1316
218	1022	1311
219	1026	1306
220	1030	1301
221	1034	1295
222	1039	1290
223	1043	1285
224	1047	1280
225	1051	1275
226	1056	1270
227	1060	1265
228	1065	1260
229	1069	1255
230	1074	1250
231	1078	1245
232	1082	1241
233	1087	1235
234	1091	1230
235	1095	1225
236	1100	1220
237	1104	1215
238	1108	1210
239	1113	1205
240	1117	1201
241	1122	1196
242	1127	1192
243	1131	1187
244	1135	1182
245	1140	1177
246	1144	1172
247	1149	1167
248	1154	1163
249	1158	1158
250	1163	1154
251	1168	1149
252	1172	1144
253	1176	1139
254	1181	1135
255	1187	1131
256	1192	1127
257	1196	1122
258	1201	1117
259	1206	1113
260	1210	1108
261	1215	1103
262	1219	1098
263	1223	1094
264	1228	1089
265	1232	1084
266	1236	1079
267	1241	1074
268	1245	1069
269	1250	1064
270	1254	1060
271	1258	1055
272	1263	1050
273	1267	1045
274	1271	1040
275	1276	1035
276	1280	1030
277	1285	1026
278	1289	1021
279	1293	1016
280	1297	1011
281	1302	1006
282	1306	1001
283	1310	997
284	1315	992
285	1319	987
286	1323	982
287	1328	977
288	1332	973
289	1337	968
290	1341	963
291	1346	958
292	1350	953
293	1354	949
294	1358	944
295	1363	939
296	1367	934
297	1371	929
298	1376	925
299	1381	920
300	1385	915
301	1390	911
302	1395	907
303	1400	903
304	1405	898
305	1410	894
306	1415	889
307	1419	885
308	1424	880
309	1428	875
310	1433	871
311	1437	866
312	1442	861
313	1446	856
314	1450	852
315	1455	847
316	1459	842
317	1464	838
318	1468	833
319	1473	828
320	1477	824
321	1482	819
322	1486	814
323	1491	810
324	1495	805
325	1499	800
326	1503	795
327	1508	790
328	1512	786
329	1517	781
330	1522	777
331	1527	772
332	1531	768
333	1536	763
334	1540	758
335	1545	754
336	1550	749
337	1554	745
338	1560	740
339	1565	736
340	1569	732
341	1574	727
342	1579	722
343	1584	718
344	1588	713
345	1592	708
346	1597	704
347	1602	699
348	1607	695
349	1612	691
350	1617	686
351	1622	682
352	1626	677
353	1631	672
354	1635	668
355	1640	663
356	1644	658
357	1649	654
358	1653	649
359	1657	644
360	1662	640
361	1667	635
362	1672	631
363	1677	626
364	1681	622
365	1686	617
366	1691	612
367	1696	608
368	1701	603
369	1705	599
370	1709	594
371	1714	589
372	1718	585
373	1722	580
374	1727	575
375	1732	571
376	1737	566
377	1741	562
378	1746	557
379	1750	552
380	1754	548
381	1758	543
382	1763	538
383	1767	533
384	1771	529
385	1776	524
386	1780	519
387	1785	515
388	1789	510
389	1793	505
390	1798	501
391	1802	496
392	1806	491
393	1811	487
394	1815	482
395	1819	477
396	1823	473
397	1828	468
398	1832	463
399	1836	459
400	1841	454
401	1845	449
402	1850	445
403	1855	440
404	1860	436
405	1864	431
406	1869	427
407	1873	422
408	1878	417
409	1882	413
410	1887	408
411	1892	404
412	1896	399
413	1900	394
414	1904	390
415	1909	385
416	1913	380
417	1917	376
418	1922	371
419	1926	366
420	1931	362
421	1935	357
422	1939	353
423	1944	348
424	1948	343
425	1952	339
426	1957	334
427	1961	329
428	1965	325
429	1970	320
430	1974	316
431	1978	311
432	1983	306
433	1988	302
434	1992	297
435	1996	293
436	2000	288
437	2005	283
438	2009	279
439	2013	274
440	2018	269
441	2022	265
442	2026	260
443	2030	256
444	2035	251
445	2039	246
446	2044	242
447	2048	237
448	2052	233
449	2057	228
450	2061	223
451	2065	219
452	2069	214
453	2074	210
454	2078	205
455	2082	200
456	2086	196
457	2091	191
458	2095	187
459	2100	182
460	2105	178
461	2109	173
462	2114	168
463	2119	164
464	2124	159
465	2128	155
466	2132	150
467	2137	146
468	2142	141
469	2146	137
470	2150	132
471	2155	127
472	2159	123
473	2163	118
474	2167	114
475	2172	109
476	2176	104
477	2180	100
478	2184	95
479	2189	91
480	2193	86
481	2197	82
482	2202	77
483	2207	72
484	2211	68
485	2215	63
486	2220	59
487	2225	54
488	2229	50
489	2234	45
490	2238	41
491	2243	36
492	2247	31
493	2251	27
