feature,importance
s__Enterocloster_hominis,0.11067517253745063
s__Ruthenibacterium_lactatiformans,0.09250629019008186
s__Blautia_luti,0.06281792004014619
s__Phocea_massiliensis,0.062474041048178136
s__Lachnospira_eligens,0.05526207498266282
s__GGB51647_SGB4348,0.052603675390842736
s__Roseburia_intestinalis,0.05201596172761444
s__Gemmiger_SGB15295,0.05110703500921284
s__Ruminococcus_sp_AF13_28,0.05050155443240876
s__Guopingia_tenuis,0.048657610888155844
s__Haemophilus_parainfluenzae,0.04822060326412434
s__Streptococcus_parasanguinis,0.04714220219692151
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.04561210473284334
s__Clostridiaceae_bacterium_AF18_31LB,0.0412762434847622
s__Hydrogenoanaerobacterium_saccharovorans,0.03983414250130923
s__Clostridium_innocuum,0.03885032739980786
s__Eubacterium_rectale,0.03819513202801312
s__Ruminococcus_torques,0.03771267994525832
s__Clostridium_sp_AT4,0.03702114861613615
s__Erysipelatoclostridium_ramosum,0.03556204693522845
s__GGB3256_SGB4303,0.03508641800081826
s__Hungatella_hathewayi,0.035022227797862855
s__Candidatus_Cibionibacter_quicibialis,0.03498774830475897
s__Oliverpabstia_intestinalis,0.0349375818994369
s__Anaerotruncus_rubiinfantis,0.033831427629250274
s__Eubacteriaceae_bacterium,0.03311189923442587
s__Fusicatenibacter_saccharivorans,0.03291485167770447
s__GGB9708_SGB15234,0.032875163167080265
s__Faecalibacterium_sp_CLA_AA_H233,0.03242248332808882
s__Mediterraneibacter_butyricigenes,0.0319191536064724
s__Veillonella_parvula,0.03172398907051394
s__Bacteroides_stercoris,0.031187302314058807
s__GGB3619_SGB4894,0.030135276707755655
s__Collinsella_aerofaciens,0.029975777073799642
s__Akkermansia_muciniphila,0.02941466135955177
s__Colidextribacter_sp_210702_DFI_3_9,0.028519246650437972
s__Alistipes_sp_AF17_16,0.028038220574418935
s__GGB9719_SGB15272,0.027955057787899213
s__Clostridiaceae_bacterium_Marseille_Q4149,0.027471944099699892
s__Phocaeicola_vulgatus,0.027038343237563756
s__GGB9627_SGB15081,0.026757183085677233
s__GGB9715_SGB15260,0.02559343927773862
s__Anaerobutyricum_hallii,0.024961068826460882
s__Eubacterium_ventriosum,0.024532454808978536
s__Butyricimonas_virosa,0.024287629127988427
s__Blautia_faecis,0.024204266453019676
s__Blautia_sp_MCC283,0.023875914951220923
s__Coprococcus_eutactus,0.023677153970101828
s__Intestinimonas_butyriciproducens,0.023441820633439057
s__Phocaeicola_plebeius,0.022863674386698216
s__Lentihominibacter_faecis,0.022692253841835
s__GGB9758_SGB15368,0.022155977858217824
s__Fusicatenibacter_sp_CLA_AA_H277,0.022013553855435544
s__Alistipes_senegalensis,0.021947219778309518
s__Bacteroides_thetaiotaomicron,0.02122880994156643
s__Lachnospiraceae_bacterium_OM04_12BH,0.021114845730527694
s__Blautia_obeum,0.0210379391770924
s__Faecalibacillus_intestinalis,0.020864495148290488
s__Lacrimispora_amygdalina,0.020746493281936205
s__Bifidobacterium_longum,0.020579598802120302
s__Roseburia_hominis,0.02057210521511546
s__Eubacterium_siraeum,0.01994506683043782
s__Blautia_wexlerae,0.019864720842907475
s__GGB9502_SGB14899,0.01952341897940514
s__Roseburia_faecis,0.019466882534797284
s__Bacteroides_nordii,0.018793775540384798
s__Roseburia_inulinivorans,0.018045113340470053
s__Alistipes_onderdonkii,0.017954647917202134
s__Alistipes_putredinis,0.01784294817530093
s__GGB9534_SGB14937,0.017117882408873297
s__Bacteroides_fragilis,0.016727229906433713
s__GGB52130_SGB14966,0.01660733466546786
s__Alistipes_finegoldii,0.016400975845252564
s__Clostridiaceae_unclassified_SGB4771,0.016318533965214908
s__Bacteroides_xylanisolvens,0.016186639990912875
s__Roseburia_sp_AF02_12,0.016054691698973087
s__Clostridium_fessum,0.01602786749473551
s__GGB9635_SGB15106,0.015940322157397775
s__GGB3109_SGB4121,0.015298882405738732
s__GGB9667_SGB15164,0.01472648404397825
s__Romboutsia_timonensis,0.014699988503173712
s__Lachnospiraceae_bacterium,0.014588091062011187
s__GGB9747_SGB15356,0.014479493168917796
s__Enterocloster_bolteae,0.014459727523429682
s__Ruminococcus_callidus,0.014450641346162016
s__Bifidobacterium_adolescentis,0.013946939061077593
s__Clostridium_sp_AM22_11AC,0.013894928757400093
s__Holdemania_filiformis,0.013699256867431864
s__Oscillibacter_sp_ER4,0.01346462886202304
s__Klebsiella_pneumoniae,0.013422326350545223
s__Gemmiger_formicilis,0.013328439516365174
s__GGB51441_SGB71759,0.013300876992956895
s__Methanobrevibacter_smithii,0.013295097765174232
s__GGB9712_SGB15244,0.013013227044335978
s__GGB9699_SGB15216,0.012574722787389449
s__Blautia_massiliensis,0.012312270962632568
s__Faecalibacterium_prausnitzii,0.011484350846392407
s__Enterocloster_citroniae,0.010982182081947105
s__Streptococcus_salivarius,0.010934785382125193
s__Evtepia_gabavorous,0.010849161797334998
s__Dialister_invisus,0.010706130140715838
s__Alistipes_shahii,0.010656581953523788
s__GGB3304_SGB4367,0.010403378220468983
s__GGB9760_SGB15373,0.010215575840741412
s__GGB9614_SGB15049,0.009880882646146933
s__Agathobaculum_butyriciproducens,0.009783197781207092
s__Clostridiaceae_bacterium_Marseille_Q4145,0.00977666324149881
s__Ruminococcus_lactaris,0.009717506530109542
s__Dorea_longicatena,0.009622454249308325
s__Alistipes_indistinctus,0.009571663658855733
s__TM7_phylum_sp_oral_taxon_352,0.00946074351583883
s__Lachnospira_pectinoschiza,0.00931030122075964
s__Phocaeicola_dorei,0.009200056240027938
s__Ruminococcus_bromii,0.008818600768696628
s__Alistipes_communis,0.008758325831725262
s__GGB9345_SGB14311,0.008756802953552247
s__Streptococcus_thermophilus,0.00870359181801865
s__GGB9730_SGB15291,0.008640904683555072
s__Faecalibacterium_sp_HTFF,0.0085850975605644
s__Bilophila_wadsworthia,0.00835504977406982
s__Oscillibacter_valericigenes,0.008053837971203617
s__Clostridium_sp_AM49_4BH,0.00796839876482551
s__Anaerotruncus_colihominis,0.007590062794016939
s__Paraprevotella_clara,0.007506004962463507
s__Clostridium_SGB4750,0.007137553263087478
s__Dorea_sp_AF36_15AT,0.007094459133775714
s__Anaerobutyricum_soehngenii,0.007056215312009802
s__Enterocloster_aldenensis,0.0068457564140989215
s__Brotolimicola_acetigignens,0.006756946293536013
s__Simiaoa_sunii,0.006525850717999947
s__Clostridiaceae_bacterium_Marseille_Q4143,0.00591450468768822
s__bacterium_210917_DFI_7_65,0.005911321540206995
s__Wansuia_hejianensis,0.005789384692693981
s__Clostridiales_bacterium,0.00570664776361475
s__Mediterraneibacter_glycyrrhizinilyticus,0.005324080443373644
s__Bacteroides_uniformis,0.005269956731107284
s__Phocaeicola_massiliensis,0.0051670724484197544
s__Parabacteroides_goldsteinii,0.005151675979780062
s__GGB3653_SGB4964,0.0050469295457116975
s__Clostridium_sp_AM33_3,0.004963616802079413
s__GGB9715_SGB15265,0.00494826205704301
s__Lachnospira_sp_NSJ_43,0.004869577505334906
s__Vescimonas_coprocola,0.004835551427970602
s__Coprococcus_comes,0.004726800868565443
s__Alistipes_ihumii,0.004469995476997412
s__Intestinibacter_bartlettii,0.004287901996991282
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.004159592627373577
s__Lachnospiraceae_bacterium_AM48_27BH,0.004055981614506481
s__Faecalicatena_contorta,0.003685268663493609
s__Clostridium_leptum,0.0036113734073601475
s__Bacteroides_caccae,0.0032551777139647434
s__GGB9342_SGB14306,0.0032353694883250636
s__Bacteroides_ovatus,0.002878118006278203
s__Lawsonibacter_asaccharolyticus,0.0028677014657652847
s__Anaerotignum_sp_MSJ_24,0.002596374878396317
s__Phascolarctobacterium_faecium,0.002276598746833972
s__Clostridia_bacterium_UC5_1_1D1,0.002225677608579283
s__Flavonifractor_plautii,0.0018488416223673648
s__Blautia_stercoris,0.0016501343807189942
s__Sutterella_wadsworthensis,0.0015411991378674662
s__Coprococcus_catus,0.0013870985881493038
s__Ruminococcus_bicirculans,0.0010327063090629768
s__Clostridiaceae_bacterium,0.001018220804797606
s__Bacteroides_finegoldii,9.787794117241608e-4
s__Anaeromassilibacillus_senegalensis,8.949404615030444e-4
s__Veillonella_atypica,7.867889947934547e-4
s__Anaerotignum_faecicola,3.59574012267286e-4
s__Oscillospiraceae_bacterium,0
s__GGB2653_SGB3574,0
s__Oscillospiraceae_bacterium_Marseille_Q3528,0
s__Clostridium_symbiosum,0
s__GGB2982_SGB3964,0
s__Bacteroides_cellulosilyticus,0
s__Eubacterium_ramulus,0
s__Mediterraneibacter_faecis,0
s__Escherichia_coli,0
s__Anaerostipes_hadrus,0
s__Clostridiales_bacterium_KLE1615,0
s__Dorea_formicigenerans,0
s__Faecalicatena_fissicatena,0
s__Ruminococcus_gnavus,0
s__Blautia_glucerasea,0
s__Clostridium_sp_AF27_2AA,0
s__Dysosmobacter_welbionis,0
s__Faecalibacterium_SGB15346,0
s__Clostridium_sp_AF20_17LB,0
s__Odoribacter_splanchnicus,0
s__Lawsonibacter_SGB15145,0
s__Parabacteroides_distasonis,0
s__Barnesiella_intestinihominis,0
s__Parabacteroides_merdae,0
s__Bacteroides_intestinalis,0
s__Segatella_copri,0
s__Adlercreutzia_equolifaciens,0
s__Oscillibacter_sp_MSJ_31,0
s__GGB2998_SGB3988,0
s__GGB9760_SGB15374,0
s__Clostridium_sp_AF36_4,0
s__Parasutterella_excrementihominis,0
s__Wujia_chipingensis,0
s__Bifidobacterium_pseudocatenulatum,0
s__Eggerthella_lenta,0
s__Blautia_SGB4815,0
s__Bacteroides_eggerthii,0
s__GGB33469_SGB15236,0
s__Streptococcus_australis,0
s__Veillonella_dispar,0
s__GGB9707_SGB15229,0
s__GGB9602_SGB15031,0
