fold,feature,importance
1,s__Ruminococcus_sp_AF13_28,0.04788318233461621
1,s__Lachnospiraceae_bacterium,0.011623774491652491
1,s__GGB9534_SGB14937,0.022668707130696998
1,s__Phocea_massiliensis,0.07265193767081732
1,s__Oscillospiraceae_bacterium,0
1,s__Lawsonibacter_asaccharolyticus,0.00901723218966002
1,s__Faecalibacterium_sp_CLA_AA_H233,0.02736971410269389
1,s__GGB9699_SGB15216,0.005782753569000329
1,s__Bacteroides_fragilis,0.016389652932728073
1,s__Hungatella_hathewayi,0.019610556113019366
1,s__Enterocloster_aldenensis,0.014420312942496715
1,s__GGB2653_SGB3574,0
1,s__Bacteroides_nordii,0.018848324552618534
1,s__Dorea_sp_AF36_15AT,0.0034741151139851
1,s__Oscillospiraceae_bacterium_Marseille_Q3528,0
1,s__Veillonella_parvula,0.020640927541839226
1,s__Blautia_obeum,0.0207403940882554
1,s__Clostridium_symbiosum,0
1,s__GGB2982_SGB3964,0
1,s__Holdemania_filiformis,0.005460803887464208
1,s__Anaerobutyricum_hallii,0.020538415475630383
1,s__Streptococcus_parasanguinis,0.03687241723671917
1,s__Bacteroides_cellulosilyticus,0
1,s__Alistipes_sp_AF17_16,0.02484480487484243
1,s__Streptococcus_salivarius,0.02486167957385768
1,s__Flavonifractor_plautii,0
1,s__Eubacterium_ramulus,0
1,s__GGB52130_SGB14966,0.01802696563724575
1,s__Enterocloster_citroniae,0.019974644615329704
1,s__Mediterraneibacter_faecis,0
1,s__Escherichia_coli,0.00153211346073737
1,s__Collinsella_aerofaciens,0.023150200910710468
1,s__Intestinimonas_butyriciproducens,0.015580475027147473
1,s__GGB3109_SGB4121,0.02157213685981184
1,s__Anaerostipes_hadrus,0.016304203947478352
1,s__Enterocloster_bolteae,0.013877105351132403
1,s__Faecalicatena_contorta,0.0021555363265031045
1,s__GGB9730_SGB15291,0
1,s__Clostridiales_bacterium_KLE1615,0
1,s__bacterium_210917_DFI_7_65,0.022588732362648824
1,s__Evtepia_gabavorous,0.011653894984570229
1,s__Phascolarctobacterium_faecium,0
1,s__Clostridiaceae_bacterium,0.0010680741370466458
1,s__Dorea_formicigenerans,0
1,s__Faecalicatena_fissicatena,0
1,s__Alistipes_senegalensis,0.016584599152710086
1,s__Ruminococcus_gnavus,0
1,s__Blautia_wexlerae,0.023788039034418278
1,s__Alistipes_onderdonkii,0.018575162929169463
1,s__Alistipes_indistinctus,0.007313625058004103
1,s__Roseburia_sp_AF02_12,0.007902937149510288
1,s__Fusicatenibacter_saccharivorans,0.027982148864982303
1,s__Butyricimonas_virosa,0.014247715975048234
1,s__Agathobaculum_butyriciproducens,0.011746839774781649
1,s__Blautia_glucerasea,6.214446670331916e-4
1,s__GGB9614_SGB15049,0
1,s__GGB9708_SGB15234,0.03765655808355748
1,s__Ruminococcus_lactaris,0
1,s__Ruthenibacterium_lactatiformans,0.09409822841396762
1,s__Clostridiaceae_bacterium_AF18_31LB,0.03096396307596797
1,s__Ruminococcus_torques,0.025451490045794237
1,s__Alistipes_ihumii,0.015183274444845579
1,s__Blautia_faecis,0.02014384804248542
1,s__Romboutsia_timonensis,0.015403852009366111
1,s__Faecalibacillus_intestinalis,0.015918527890992292
1,s__Colidextribacter_sp_210702_DFI_3_9,0.01952197422764049
1,s__Clostridium_leptum,0.0013749763609888957
1,s__Gemmiger_formicilis,0.005735731118749098
1,s__Clostridium_sp_AM49_4BH,0.018872566825381236
1,s__Clostridium_sp_AF27_2AA,0
1,s__Haemophilus_parainfluenzae,0.04069448794880871
1,s__Coprococcus_catus,0.007829564635100626
1,s__GGB3256_SGB4303,0.04236097491600204
1,s__Clostridium_sp_AM33_3,0.0037864213440000323
1,s__Bacteroides_xylanisolvens,0.01548411404965485
1,s__Parabacteroides_goldsteinii,0.005449366791993271
1,s__Alistipes_finegoldii,0.005840708057360833
1,s__GGB9627_SGB15081,0.029358845970592577
1,s__Eubacterium_ventriosum,0.030996918799619334
1,s__Roseburia_inulinivorans,0.003534882805343163
1,s__Clostridiaceae_bacterium_Marseille_Q4143,0.006062334301221207
1,s__Bilophila_wadsworthia,0.004015670826755687
1,s__Lachnospiraceae_bacterium_CLA_AA_H244,0
1,s__Hydrogenoanaerobacterium_saccharovorans,0.030540274419771155
1,s__Alistipes_communis,0.005181490003490552
1,s__Clostridiales_bacterium,0.013353742450221936
1,s__Bacteroides_ovatus,0
1,s__Dorea_longicatena,0.008176776531501848
1,s__Ruminococcus_bromii,0.007571766257603919
1,s__Roseburia_faecis,0.018563668443165
1,s__Bacteroides_caccae,0.0035254479444135935
1,s__Clostridium_sp_AM22_11AC,0.014655900178964924
1,s__Dysosmobacter_welbionis,0
1,s__Faecalibacterium_SGB15346,0
1,s__Brotolimicola_acetigignens,0
1,s__Clostridium_sp_AF20_17LB,0.002568091717764179
1,s__Lacrimispora_amygdalina,0.013070134463971454
1,s__Lachnospiraceae_bacterium_AM48_27BH,0.003131823149202972
1,s__Clostridium_fessum,0.016662340840534987
1,s__Lachnospira_sp_NSJ_43,0.004949406617097516
1,s__Enterocloster_hominis,0.11662537516151622
1,s__Odoribacter_splanchnicus,0
1,s__Lawsonibacter_SGB15145,0.0062991976036489775
1,s__Bacteroides_stercoris,0.028594193880790535
1,s__Candidatus_Cibionibacter_quicibialis,0.05552879247433897
1,s__Coprococcus_comes,0
1,s__Parabacteroides_distasonis,0
1,s__Oscillibacter_valericigenes,0.02325355724260651
1,s__Alistipes_shahii,0.0036688071811300364
1,s__Barnesiella_intestinihominis,0.0012079861838921258
1,s__Anaerotignum_faecicola,0
1,s__Phocaeicola_vulgatus,0.02248495785740949
1,s__Roseburia_hominis,0.017447037990529005
1,s__Bacteroides_thetaiotaomicron,0.01801039841711485
1,s__Parabacteroides_merdae,0
1,s__Alistipes_putredinis,0.025805440073253243
1,s__Bacteroides_intestinalis,0
1,s__Faecalibacterium_prausnitzii,0.018773727183457444
1,s__Simiaoa_sunii,0.011689590549891504
1,s__Bacteroides_uniformis,1.0273818081862093e-4
1,s__Bacteroides_finegoldii,0.0016472410017223966
1,s__Paraprevotella_clara,0.01542192264408816
1,s__Lachnospira_eligens,0.050857940542541266
1,s__Phocaeicola_dorei,0.0014791131987088296
1,s__Segatella_copri,0
1,s__Eubacteriaceae_bacterium,0.030511135305636466
1,s__Fusicatenibacter_sp_CLA_AA_H277,0.011242400739487183
1,s__Oscillospiraceae_bacterium_CLA_AA_H250,0.04563417419374177
1,s__Intestinibacter_bartlettii,0
1,s__Bifidobacterium_longum,0.010374904144925636
1,s__GGB51441_SGB71759,0.018022171080367935
1,s__Adlercreutzia_equolifaciens,0.005837152653206795
1,s__Clostridiaceae_bacterium_Marseille_Q4149,0.02880534736079187
1,s__GGB9747_SGB15356,3.1498478328023926e-4
1,s__Blautia_massiliensis,0.015807003863823478
1,s__Clostridium_SGB4750,0
1,s__Anaerotignum_sp_MSJ_24,0.006795021688133542
1,s__GGB9760_SGB15373,0.009519939456408671
1,s__Oscillibacter_sp_MSJ_31,0
1,s__Clostridiaceae_bacterium_Marseille_Q4145,0.006970592692279364
1,s__GGB9758_SGB15368,0.024911425227804637
1,s__Akkermansia_muciniphila,0.02808833631968117
1,s__Gemmiger_SGB15295,0.04929823877417104
1,s__GGB2998_SGB3988,0.005086591577616087
1,s__GGB9715_SGB15260,0.01584402767988221
1,s__GGB9760_SGB15374,0
1,s__Clostridiaceae_unclassified_SGB4771,0.011615898727495738
1,s__Clostridium_sp_AF36_4,0.0017183909641351903
1,s__Ruminococcus_bicirculans,0
1,s__Oscillibacter_sp_ER4,0.022172303404127302
1,s__Vescimonas_coprocola,0.01022023480677217
1,s__Lachnospiraceae_bacterium_OM04_12BH,0.012095410537773015
1,s__Parasutterella_excrementihominis,0
1,s__Eubacterium_rectale,0.03378499436808949
1,s__GGB3619_SGB4894,0.023190631947970244
1,s__Phocaeicola_massiliensis,0.005208419057293623
1,s__GGB3304_SGB4367,0.011019412836823563
1,s__Lachnospira_pectinoschiza,0.00951632395371541
1,s__Wujia_chipingensis,0
1,s__Phocaeicola_plebeius,0.02503268284094086
1,s__Anaerotruncus_colihominis,0.005295003006330994
1,s__Wansuia_hejianensis,0.007638851395341739
1,s__Bifidobacterium_pseudocatenulatum,0
1,s__Clostridia_bacterium_UC5_1_1D1,8.700616664695693e-4
1,s__Anaeromassilibacillus_senegalensis,0
1,s__Bifidobacterium_adolescentis,0.011601633232956992
1,s__Clostridium_innocuum,0.03778066488693707
1,s__TM7_phylum_sp_oral_taxon_352,0.014827072322800143
1,s__Streptococcus_thermophilus,0.003214823428339659
1,s__Erysipelatoclostridium_ramosum,0.031105193498995744
1,s__Guopingia_tenuis,0.021109545421392005
1,s__Blautia_sp_MCC283,0.030233568496078785
1,s__Anaerobutyricum_soehngenii,0.005921959995762891
1,s__GGB9719_SGB15272,0.046194295910320746
1,s__Clostridium_sp_AT4,0.03286418994073371
1,s__Eggerthella_lenta,0
1,s__Blautia_SGB4815,0
1,s__GGB9667_SGB15164,0.01029293321829901
1,s__GGB3653_SGB4964,0.004062545521566407
1,s__Roseburia_intestinalis,0.04238826764359754
1,s__Oliverpabstia_intestinalis,0.03845766821043927
1,s__Sutterella_wadsworthensis,0
