feature,mean_abs_shap,model
s__Enterocloster_hominis,0.5477324809065518,CatBoost
s__Ruminococcus_sp_AF13_28,0.3394507742264163,CatBoost
s__Haemophilus_parainfluenzae,0.24447196418811196,CatBoost
s__Lachnospira_eligens,0.24079777316551587,CatBoost
s__Blautia_sp_OF03_15BH,0.21403235786247563,CatBoost
s__Blautia_SGB4815,0.18739955516601553,CatBoost
s__Veillonella_atypica,0.1817531011652989,CatBoost
s__Anaerobutyricum_hallii,0.16650277935542804,CatBoost
s__Phocea_massiliensis,0.1548019124694407,CatBoost
s__Mediterraneibacter_glycyrrhizinilyticus,0.150374973070254,CatBoost
s__Intestinibacter_bartlettii,0.1419483758925751,CatBoost
s__Bacteroides_stercoris,0.13314414556145354,CatBoost
s__Streptococcus_parasanguinis,0.1215955796265999,CatBoost
s__Eubacteriaceae_bacterium,0.11831431837497725,CatBoost
s__Ruthenibacterium_lactatiformans,0.11161281199919204,CatBoost
s__Hydrogenoanaerobacterium_saccharovorans,0.11049782665487069,CatBoost
s__Ruminococcus_torques,0.10886749378872493,CatBoost
s__Clostridium_fessum,0.10253596181935008,CatBoost
s__Parasutterella_excrementihominis,0.10162100391803998,CatBoost
s__Blautia_sp_MCC283,0.09900613888772267,CatBoost
s__GGB9667_SGB15164,0.0982475483011737,CatBoost
s__Clostridium_scindens,0.09554880749572148,CatBoost
s__Blautia_wexlerae,0.09187017860059848,CatBoost
s__Collinsella_aerofaciens,0.08701739658642485,CatBoost
s__Bacteroides_thetaiotaomicron,0.08517761161162202,CatBoost
s__Bacteroides_nordii,0.07898384401311935,CatBoost
s__Akkermansia_muciniphila,0.07823518223726628,CatBoost
s__Veillonella_parvula,0.077000450493567,CatBoost
s__Candidatus_Cibionibacter_quicibialis,0.07543140439171521,CatBoost
s__Faecalibacillus_intestinalis,0.07466179429722604,CatBoost
s__Blautia_obeum,0.0740320690204538,CatBoost
s__Eubacterium_rectale,0.07066277405913783,CatBoost
s__Guopingia_tenuis,0.07039626532955162,CatBoost
s__Wujia_chipingensis,0.06832760370536124,CatBoost
s__Streptococcus_salivarius,0.06655783241141591,CatBoost
s__GGB9758_SGB15368,0.0657490579985931,CatBoost
s__Clostridiaceae_bacterium_AF18_31LB,0.0657111014387531,CatBoost
s__Clostridiaceae_bacterium_Marseille_Q4145,0.06527556340274375,CatBoost
s__Phocaeicola_vulgatus,0.06487593926679554,CatBoost
s__Faecalibacterium_sp_CLA_AA_H233,0.06438643812136875,CatBoost
s__Adlercreutzia_equolifaciens,0.0641478587084003,CatBoost
s__Eubacterium_ventriosum,0.06047790255712722,CatBoost
s__Clostridium_sp_AF20_17LB,0.05947354284034337,CatBoost
s__GGB9760_SGB15374,0.058619885631686235,CatBoost
s__Roseburia_faecis,0.05859822576914702,CatBoost
s__GGB3256_SGB4303,0.058048837638388306,CatBoost
s__Streptococcus_thermophilus,0.056807337227957735,CatBoost
