feature,mean_abs_shap,model
s__Enterocloster_hominis,0.48408990143129893,XGBoost
s__Ruminococcus_sp_AF13_28,0.4111443821993732,XGBoost
s__Streptococcus_parasanguinis,0.2086894138157224,XGBoost
s__Anaerobutyricum_hallii,0.18701471709615114,XGBoost
s__GGB51647_SGB4348,0.18252291999329034,XGBoost
s__Haemophilus_parainfluenzae,0.18061914008703508,XGBoost
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.17716093904639227,XGBoost
s__Lachnospira_eligens,0.17189660182674463,XGBoost
s__Clostridium_sp_AT4,0.16870803898721923,XGBoost
s__Bifidobacterium_longum,0.16292677556097904,XGBoost
s__Phocea_massiliensis,0.16024020609848288,XGBoost
s__Eubacterium_rectale,0.16022689014404495,XGBoost
s__Roseburia_intestinalis,0.15340965763132455,XGBoost
s__Blautia_luti,0.14570426056169017,XGBoost
s__Oliverpabstia_intestinalis,0.13879543625821344,XGBoost
s__Candidatus_Cibionibacter_quicibialis,0.13657156229118675,XGBoost
s__Eubacteriaceae_bacterium,0.13545923015096803,XGBoost
s__Ruthenibacterium_lactatiformans,0.1214233221469898,XGBoost
s__Alistipes_sp_AF17_16,0.11725405006372788,XGBoost
s__GGB9758_SGB15368,0.11720688282038778,XGBoost
s__Hydrogenoanaerobacterium_saccharovorans,0.10060464468896489,XGBoost
s__Blautia_sp_MCC283,0.1000208360206159,XGBoost
s__Bacteroides_thetaiotaomicron,0.09877366016530757,XGBoost
s__Blautia_obeum,0.09868948419373239,XGBoost
s__GGB9719_SGB15272,0.09697968667755158,XGBoost
s__Bacteroides_nordii,0.09215051608972888,XGBoost
s__Clostridium_fessum,0.08931365520182022,XGBoost
s__Roseburia_faecis,0.08885362668898188,XGBoost
s__Bacteroides_stercoris,0.08800015585106863,XGBoost
s__GGB3256_SGB4303,0.08636836679102627,XGBoost
s__Faecalibacterium_sp_HTFF,0.08623543406277871,XGBoost
s__Phocaeicola_vulgatus,0.08457798907734947,XGBoost
s__Gemmiger_SGB15295,0.08292984909671473,XGBoost
s__GGB9715_SGB15265,0.08205725044532941,XGBoost
s__Ruminococcus_torques,0.08025120462378584,XGBoost
s__Parabacteroides_distasonis,0.07771118710875098,XGBoost
s__Coprococcus_comes,0.07627483349858523,XGBoost
s__Akkermansia_muciniphila,0.0740150307277522,XGBoost
s__GGB3304_SGB4367,0.07018660583420229,XGBoost
s__Blautia_wexlerae,0.06922978894804581,XGBoost
s__Veillonella_parvula,0.06873850862974092,XGBoost
s__Bacteroides_caccae,0.0675568750625283,XGBoost
s__Clostridium_sp_AF20_17LB,0.06570568023604148,XGBoost
s__Vescimonas_coprocola,0.06544584884423166,XGBoost
