feature,mean_abs_shap
s__Enterocloster_hominis,0.46616109848022463
s__Ruminococcus_sp_AF13_28,0.2639352416992187
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.2406260299682617
s__Haemophilus_parainfluenzae,0.20792621612548828
s__Ruthenibacterium_lactatiformans,0.17643440246582032
s__Eubacterium_rectale,0.17394041061401366
s__Roseburia_intestinalis,0.16511482238769531
s__GGB51647_SGB4348,0.1600319290161133
s__Phocea_massiliensis,0.1400667190551758
s__Lachnospira_eligens,0.1392544174194336
s__Streptococcus_parasanguinis,0.13465404510498047
s__Clostridium_sp_AT4,0.1336637878417969
s__Bacteroides_thetaiotaomicron,0.12402437210083007
s__Oliverpabstia_intestinalis,0.11741220474243164
s__Veillonella_parvula,0.11186933517456055
s__Blautia_luti,0.10839700698852539
s__Candidatus_Cibionibacter_quicibialis,0.10613651275634765
s__Phocaeicola_plebeius,0.10542852401733399
s__Blautia_sp_MCC283,0.1009902572631836
s__Erysipelatoclostridium_ramosum,0.09933618545532226
