fold,feature,importance
1,s__Ruminococcus_sp_AF13_28,0.0325202948473692
1,s__Enterocloster_hominis,0.031274732993304834
1,s__Candidatus_Cibionibacter_quicibialis,0.016318664689223054
1,s__Eubacteriaceae_bacterium,0.0141393211819544
1,s__Oscillospiraceae_bacterium_CLA_AA_H250,0.014085407516035901
1,s__Anaerobutyricum_hallii,0.01331899041112857
1,s__Ruthenibacterium_lactatiformans,0.012724806807223418
1,s__Segatella_copri,0.012169531981493183
1,s__Haemophilus_parainfluenzae,0.0110034150444969
1,s__Clostridium_sp_AT4,0.0104539282329391
1,s__Roseburia_intestinalis,0.010380352179811618
1,s__Lachnospira_eligens,0.010057040867144538
1,s__Eubacterium_rectale,0.009884200647369269
1,s__Holdemania_filiformis,0.009755764225909697
1,s__GGB51647_SGB4348,0.009725480805053349
1,s__Phocea_massiliensis,0.009189639637700786
1,s__Streptococcus_parasanguinis,0.008956902178138928
1,s__Oliverpabstia_intestinalis,0.008851058084204855
1,s__Blautia_sp_MCC283,0.00883363461365283
1,s__Bacteroides_nordii,0.007763885072123479
1,s__Evtepia_gabavorous,0.007582259177540623
1,s__Eubacterium_ventriosum,0.007462272593390093
1,s__Roseburia_faecis,0.00700934942801854
1,s__Intestinimonas_butyriciproducens,0.0069345779039600266
1,s__Bifidobacterium_longum,0.006842501765418931
1,s__Oscillospiraceae_bacterium,0.006831397015209879
1,s__Blautia_wexlerae,0.006827702802725897
1,s__Streptococcus_salivarius,0.006725308989923983
1,s__Alistipes_finegoldii,0.0067000631315457925
1,s__Clostridium_leptum,0.006591790780472043
1,s__Ruminococcus_torques,0.00657573139062398
1,s__Akkermansia_muciniphila,0.006347483511778253
1,s__Bacteroides_stercoris,0.006293526311369202
1,s__Gemmiger_SGB15295,0.006262181478171778
1,s__Blautia_massiliensis,0.006204541812680957
1,s__Lachnospiraceae_bacterium,0.006157535619263374
1,s__GGB9758_SGB15368,0.006113086213386143
1,s__GGB9502_SGB14899,0.006053224906829854
1,s__Faecalibacillus_intestinalis,0.006002418083284716
1,s__Bilophila_wadsworthia,0.005966598871891671
1,s__Bacteroides_thetaiotaomicron,0.005822130701530418
1,s__Adlercreutzia_equolifaciens,0.005795762275217281
1,s__Faecalibacterium_sp_CLA_AA_H233,0.005780559409195236
1,s__Phocaeicola_vulgatus,0.005769008948725771
1,s__Blautia_luti,0.005699740391580125
1,s__Bacteroides_caccae,0.005684874745103943
1,s__GGB3256_SGB4303,0.005629917287947687
1,s__Lachnospiraceae_bacterium_AM48_27BH,0.005574139240195709
